               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.096851,              0.0254,            0.029999,            0.008219,            0.016667,           0.0010075,          0.00013706,            0.060672,            0.020212,            0.019502,               7e-05,               7e-05,             0.09937
                   1,            0.070961,            0.022824,            0.021579,           0.0060982,            0.016667,          0.00083298,          0.00012087,            0.048808,            0.017911,            0.019205,          0.00014988,          0.00014988,             0.09865
                   2,            0.081052,            0.020183,            0.027176,           0.0049706,            0.033333,            0.001166,          0.00018561,            0.043621,            0.015759,             0.01862,          0.00022927,          0.00022927,            0.097929
                   3,            0.071233,             0.01743,            0.021106,            0.004988,            0.016667,           0.0011872,          0.00026704,            0.040129,            0.014237,            0.018211,           0.0003078,           0.0003078,            0.097208
                   4,            0.055584,            0.016022,            0.018467,           0.0030497,             0.55833,           0.0027008,          0.00052389,            0.038785,            0.012514,            0.018391,           0.0003851,           0.0003851,            0.096485
                   5,            0.062638,            0.013958,            0.019062,           0.0050764,                0.25,           0.0058311,           0.0013213,            0.035678,            0.011826,            0.017581,           0.0004608,           0.0004608,            0.095761
                   6,            0.044538,            0.012524,            0.015174,           0.0086129,             0.35833,           0.0078471,           0.0019292,            0.035471,            0.010992,            0.016683,          0.00053455,          0.00053455,            0.095035
                   7,            0.046511,            0.013461,            0.016226,            0.020218,             0.20833,            0.023452,           0.0065729,            0.032804,            0.010288,            0.016234,          0.00060602,          0.00060602,            0.094306
                   8,            0.053163,            0.013177,            0.016551,            0.016789,             0.41667,            0.017532,           0.0054094,            0.029187,            0.010084,             0.01556,          0.00067487,          0.00067487,            0.093575
                   9,            0.048756,            0.012549,            0.018288,            0.050084,             0.51667,            0.046548,            0.017178,            0.028452,           0.0095125,            0.015145,          0.00074081,          0.00074081,            0.092841
                  10,              0.0411,            0.012075,             0.01884,             0.06749,             0.60907,            0.079359,            0.038853,            0.025912,           0.0091737,            0.014678,          0.00080354,          0.00080354,            0.092104
                  11,            0.044527,            0.014556,            0.015427,             0.10398,             0.71667,             0.16204,            0.081612,            0.025423,           0.0087039,              0.0144,           0.0008628,           0.0008628,            0.091363
                  12,            0.034802,           0.0091867,            0.013705,             0.14625,             0.76935,             0.24257,            0.099423,            0.027208,           0.0084403,            0.014211,          0.00091834,          0.00091834,            0.090618
                  13,            0.036577,            0.010211,            0.015132,             0.21033,                 0.6,             0.27419,             0.13102,            0.024592,           0.0080998,            0.014458,          0.00096994,          0.00096994,             0.08987
                  14,            0.041167,            0.012353,            0.019432,             0.25296,             0.85833,             0.45125,             0.24424,            0.023543,           0.0078467,            0.014387,           0.0010174,           0.0010174,            0.089117
                  15,            0.048443,            0.011224,            0.018655,              0.2914,              0.6838,              0.4646,             0.27854,            0.023863,           0.0073958,            0.014952,           0.0010606,           0.0010606,            0.088361
                  16,            0.042686,             0.01033,            0.018526,             0.79417,             0.38333,             0.46794,             0.26903,            0.021858,           0.0073068,            0.014465,           0.0010993,           0.0010993,            0.087599
                  17,            0.051179,            0.011921,            0.016229,             0.93957,                 0.3,             0.46129,             0.24281,            0.022959,           0.0070327,            0.013858,           0.0011336,           0.0011336,            0.086834
                  18,            0.032042,           0.0092494,            0.015066,             0.89139,              0.3605,             0.49323,             0.24124,             0.02492,           0.0068365,            0.013456,           0.0011632,           0.0011632,            0.086063
                  19,            0.041105,            0.012424,            0.014994,             0.26731,             0.80798,             0.56262,             0.31725,            0.021415,           0.0067253,            0.013051,           0.0011881,           0.0011881,            0.085288
                  20,             0.03136,           0.0093577,            0.012713,             0.24319,               0.875,             0.56969,               0.346,            0.021622,            0.006443,            0.012742,           0.0012084,           0.0012084,            0.084508
                  21,             0.03479,           0.0097841,            0.013393,             0.25225,               0.775,             0.50227,             0.27262,            0.020728,           0.0062009,            0.012743,           0.0012241,           0.0012241,            0.083724
                  22,            0.027593,            0.009107,            0.011583,             0.86125,             0.34722,             0.56664,             0.24437,            0.025048,           0.0059216,            0.012229,           0.0012352,           0.0012352,            0.082935
                  23,            0.036975,           0.0080868,            0.013618,             0.91192,             0.31194,             0.50389,             0.28203,            0.023635,           0.0056829,            0.012371,           0.0012418,           0.0012418,            0.082142
                  24,            0.043019,           0.0097674,            0.019068,             0.86177,             0.34898,             0.50175,             0.30829,             0.01884,           0.0060034,            0.012203,            0.001244,            0.001244,            0.081344
                  25,            0.025542,           0.0099721,            0.012871,             0.85757,                0.35,             0.53333,              0.2733,            0.024272,           0.0056993,             0.01244,            0.001242,            0.001242,            0.080542
                  26,            0.029367,           0.0087567,            0.014091,             0.85205,             0.35705,             0.44815,             0.26622,            0.018861,           0.0056187,            0.012687,            0.001236,            0.001236,            0.079736
                  27,             0.02365,           0.0078893,            0.012292,              0.8906,             0.36667,             0.49437,             0.31942,            0.021915,           0.0053419,            0.012456,           0.0012262,           0.0012262,            0.078926
                  28,            0.031724,           0.0093623,            0.014989,             0.32751,             0.69167,             0.55176,             0.35647,            0.022842,           0.0049075,            0.012285,           0.0012129,           0.0012129,            0.078113
                  29,            0.039354,           0.0091769,             0.01894,             0.86441,             0.36667,             0.60222,             0.31091,            0.019995,           0.0050695,             0.01145,           0.0011963,           0.0011963,            0.077296
                  30,            0.029601,            0.008048,            0.012044,             0.28547,             0.80959,             0.56127,             0.34469,            0.018653,           0.0051718,            0.011196,           0.0011767,           0.0011767,            0.076477
                  31,            0.032212,           0.0080044,            0.014816,              0.8366,             0.41667,             0.49357,             0.33292,            0.018161,            0.005228,            0.011166,           0.0011545,           0.0011545,            0.075655
                  32,            0.032571,           0.0074085,            0.012556,             0.86977,             0.38333,             0.49547,             0.30267,            0.017746,           0.0051642,            0.010874,           0.0011301,           0.0011301,             0.07483
                  33,            0.034346,           0.0075266,            0.012772,             0.33092,             0.73333,             0.61686,             0.43973,            0.017726,           0.0052279,            0.010514,           0.0011038,           0.0011038,            0.074004
                  34,            0.031398,           0.0075531,            0.014906,             0.38425,             0.69167,             0.64724,             0.46912,            0.018803,           0.0050451,            0.010413,            0.001076,            0.001076,            0.073176
                  35,            0.026183,           0.0063247,            0.010034,             0.38692,             0.70795,             0.64482,             0.42971,            0.018709,           0.0049943,            0.010048,           0.0010472,           0.0010472,            0.072347
                  36,            0.026247,           0.0074641,           0.0092267,             0.38969,               0.775,             0.68714,             0.36099,            0.024846,           0.0046511,           0.0093975,           0.0010178,           0.0010178,            0.071518
                  37,              0.0322,           0.0082894,            0.011239,             0.86353,             0.36667,             0.61556,             0.40617,            0.019479,           0.0048182,           0.0092216,          0.00098833,          0.00098833,            0.070688
                  38,            0.035377,           0.0086359,            0.015513,             0.30283,             0.68333,             0.59643,             0.34004,            0.020021,           0.0047898,           0.0091265,          0.00095916,          0.00095916,            0.069859
                  39,            0.029757,           0.0091172,            0.015554,             0.32193,             0.78333,             0.66137,             0.44636,            0.016868,           0.0047769,           0.0088372,          0.00093083,          0.00093083,            0.069031
                  40,            0.032612,            0.010922,            0.015685,             0.41618,             0.75833,             0.68813,             0.49706,            0.015541,           0.0046205,           0.0087876,          0.00090381,          0.00090381,            0.068204
                  41,            0.038703,           0.0085828,            0.014269,             0.39987,             0.75833,             0.72088,             0.51884,            0.016142,           0.0044704,           0.0090015,           0.0008786,           0.0008786,            0.067379
                  42,             0.02962,           0.0077728,            0.015673,             0.44009,              0.7105,             0.70994,             0.45217,            0.018547,           0.0043105,           0.0092082,          0.00085571,          0.00085571,            0.066556
                  43,            0.032252,           0.0078609,           0.0086558,             0.41032,               0.723,             0.60233,             0.40465,            0.015661,           0.0044107,           0.0094054,          0.00083562,          0.00083562,            0.065736
                  44,            0.025397,           0.0067565,            0.009914,             0.34411,             0.83061,             0.64896,             0.45513,             0.01556,           0.0043171,           0.0090271,          0.00081884,          0.00081884,            0.064919
